#gen	pop-size	worst	best	median	average	std-deviation
81	50	1000	17.00969809	136.3455297	202.497698	243.8321373
82	50	1000	17.00969809	155.8092143	271.4222058	303.6784561
83	50	268.7407813	17.00969809	136.1163192	133.8222328	60.329312
84	50	269.4729527	17.00969809	119.0497146	124.2622728	65.50413469
85	50	269.2057625	17.00969809	96.59504544	126.9548181	70.05380181
86	50	1000	17.00969809	135.7434114	304.6409696	372.2606832
87	50	1000	17.00969809	135.7000912	284.2889858	345.3158207
88	50	1000	17.00969809	135.9668363	362.8219455	402.4338987
89	50	1000	17.00969809	202.1549613	457.682068	428.4657962
90	50	1000	17.00969809	135.8197998	268.6998306	331.1640104
91	50	1000	17.00969809	80.86503687	188.9471839	223.3854606
92	50	1000	17.00969809	135.7625072	272.2803314	344.4945357
93	50	1000	17.00969809	135.9967988	263.5586459	328.5712548
94	50	1000	17.00969809	137.2319166	343.2658603	392.554828
95	50	1000	17.00969809	135.7958545	277.4024693	343.8597664
96	50	1000	17.00969809	141.8715347	373.0193622	397.8415389
97	50	1000	17.00969809	136.4372919	344.6014241	379.1439819
98	50	1000	17.00969809	269.1566992	481.433672	418.3294973
99	50	1000	17.00969809	135.8509849	239.0444094	291.7379367
100	50	1000	17.00969809	87.54026813	225.4420454	294.4930048
101	50	401.8362308	17.00969809	135.5591606	126.0020079	73.18718317
102	50	401.7029517	17.00969809	99.18878189	131.7930056	81.49546391
103	50	1000	17.00969809	135.9134438	231.0335159	292.7794784
104	50	1000	17.00969809	136.1970008	176.1881288	186.0306968
105	50	1000	17.00969809	135.896344	166.9564714	187.5947371
106	50	1000	17.00969809	73.36190189	145.4446029	182.3613009
107	50	1000	17.00969809	105.4970235	185.5058703	246.5883863
108	50	1000	17.00969809	112.992636	157.8291295	155.3622811
109	50	1000	17.00969809	135.8898297	221.7040976	272.9753406
110	50	1000	17.00969809	178.4172446	451.809103	432.0523582
111	50	1000	17.00969809	136.0165474	265.3642881	326.7982525
112	50	1000	17.00969809	136.5536122	259.7219681	311.1219971
113	50	1000	17.00969809	135.9593245	337.7415129	378.5680464
114	50	1000	17.00969809	168.9138577	362.5272186	383.650144
